Plot,Stand
YC20:2460,1
YC20:2461,4
YC20:2462,13
YC20:2463,24
YC20:2464,25
YC20:2465,19
YC20:2466,6
YC20:2467,23
YC20:2468,25
YC20:2469,16
YC20:2470,17
YC20:2471,6
YC20:2472,11
YC20:2473,20
YC20:2474,7
YC20:2475,18
YC20:2476,24
YC20:2477,17
YC20:2478,6
YC20:2479,20
YC20:2480,2
YC20:2481,10
YC20:2482,14
YC20:2483,1
YC20:2484,13
YC20:2485,23
YC20:2486,13
YC20:2487,1
YC20:2488,14
YC20:2489,21
YC20:2490,24
YC20:2491,6
YC20:2492,18
YC20:2493,22
YC20:2494,13
YC20:2495,8
YC20:2496,13
YC20:2497,12
YC20:2498,19
YC20:2499,8
YC20:2500,19
YC20:2501,18
YC20:2502,16
YC20:2503,25
YC20:2504,5
YC20:2505,20
YC20:2506,20
YC20:2507,8
YC20:2508,12
YC20:2509,14
YC20:2510,23
YC20:2511,19
YC20:2512,22
YC20:2513,20
YC20:2514,14
YC20:2515,19
YC20:2516,5
YC20:2517,11
YC20:2518,17
YC20:2519,17
YC20:2520,17
