Fields,BoundingBox,X,Y,left,top,right,bottom,id
71,"[-93.1753503981634,44.9928754019023;-93.1752753981634,44.9928814019023]","[-93.1753503981634,-93.1752753981634,-93.1752753981634,-93.1753503981634,-93.1753503981634,NaN]","[44.9928814019023,44.9928814019023,44.9928754019023,44.9928754019023,44.9928814019023,NaN]",86,-93.17545154,44.99291467,-93.17537654,44.99290867
72,"[-93.1753525408034,44.9928685502781;-93.1752775408034,44.9928745502781]","[-93.1753525408034,-93.1752775408034,-93.1752775408034,-93.1753525408034,-93.1753525408034,NaN]","[44.9928745502781,44.9928745502781,44.9928685502781,44.9928685502781,44.9928745502781,NaN]",87,-93.17545154,44.99290867,-93.17537654,44.99290267
73,"[-93.1753518104489,44.9928613919600;-93.1752768104489,44.9928673919600]","[-93.1753518104489,-93.1752768104489,-93.1752768104489,-93.1753518104489,-93.1753518104489,NaN]","[44.9928673919600,44.9928673919600,44.9928613919600,44.9928613919600,44.9928673919600,NaN]",88,-93.17545154,44.99290267,-93.17537654,44.99289667
74,"[-93.1753500167622,44.9928536900574;-93.1752750167622,44.9928596900574]","[-93.1753500167622,-93.1752750167622,-93.1752750167622,-93.1753500167622,-93.1753500167622,NaN]","[44.9928596900574,44.9928596900574,44.9928536900574,44.9928536900574,44.9928596900574,NaN]",89,-93.17545154,44.99289667,-93.17537654,44.99289067
75,"[-93.1753492029321,44.9928472881046;-93.1752742029321,44.9928532881046]","[-93.1753492029321,-93.1752742029321,-93.1752742029321,-93.1753492029321,-93.1753492029321,NaN]","[44.9928532881046,44.9928532881046,44.9928472881046,44.9928472881046,44.9928532881046,NaN]",90,-93.17545154,44.99289067,-93.17537654,44.99288467
76,"[-93.1753502007843,44.9928412175449;-93.1752752007843,44.9928472175449]","[-93.1753502007843,-93.1752752007843,-93.1752752007843,-93.1753502007843,-93.1753502007843,NaN]","[44.9928472175449,44.9928472175449,44.9928412175449,44.9928412175449,44.9928472175449,NaN]",91,-93.17545154,44.99288467,-93.17537654,44.99287867
77,"[-93.1753511017236,44.9928334583501;-93.1752761017236,44.9928394583501]","[-93.1753511017236,-93.1752761017236,-93.1752761017236,-93.1753511017236,-93.1753511017236,NaN]","[44.9928394583501,44.9928394583501,44.9928334583501,44.9928334583501,44.9928394583501,NaN]",92,-93.17545154,44.99287867,-93.17537654,44.99287267
78,"[-93.1753500008453,44.9928248594153;-93.1752750008453,44.9928308594153]","[-93.1753500008453,-93.1752750008453,-93.1752750008453,-93.1753500008453,-93.1753500008453,NaN]","[44.9928308594153,44.9928308594153,44.9928248594153,44.9928248594153,44.9928308594153,NaN]",93,-93.17545154,44.99287267,-93.17537654,44.99286667
79,"[-93.1753482620743,44.9928187053120;-93.1752732620743,44.9928247053120]","[-93.1753482620743,-93.1752732620743,-93.1752732620743,-93.1753482620743,-93.1753482620743,NaN]","[44.9928247053120,44.9928247053120,44.9928187053120,44.9928187053120,44.9928247053120,NaN]",94,-93.17545154,44.99286667,-93.17537654,44.99286067
80,"[-93.1753494531845,44.9928117517978;-93.1752744531845,44.9928177517978]","[-93.1753494531845,-93.1752744531845,-93.1752744531845,-93.1753494531845,-93.1753494531845,NaN]","[44.9928177517978,44.9928177517978,44.9928117517978,44.9928117517978,44.9928177517978,NaN]",95,-93.17545154,44.99286067,-93.17537654,44.99285467
81,"[-93.1753496695421,44.9928059785048;-93.1752746695421,44.9928119785048]","[-93.1753496695421,-93.1752746695421,-93.1752746695421,-93.1753496695421,-93.1753496695421,NaN]","[44.9928119785048,44.9928119785048,44.9928059785048,44.9928059785048,44.9928119785048,NaN]",96,-93.17545154,44.99285467,-93.17537654,44.99284867
82,"[-93.1753501307435,44.9927997245988;-93.1752751307435,44.9928057245987]","[-93.1753501307435,-93.1752751307435,-93.1752751307435,-93.1753501307435,-93.1753501307435,NaN]","[44.9928057245987,44.9928057245987,44.9927997245988,44.9927997245988,44.9928057245987,NaN]",97,-93.17545154,44.99284867,-93.17537654,44.99284267
83,"[-93.1753476830658,44.9927933910332;-93.1752726830658,44.9927993910332]","[-93.1753476830658,-93.1752726830658,-93.1752726830658,-93.1753476830658,-93.1753476830658,NaN]","[44.9927993910332,44.9927993910332,44.9927933910332,44.9927933910332,44.9927993910332,NaN]",98,-93.17545154,44.99284267,-93.17537654,44.99283667
84,"[-93.1753484866576,44.9927863264440;-93.1752734866576,44.9927923264440]","[-93.1753484866576,-93.1752734866576,-93.1752734866576,-93.1753484866576,-93.1753484866576,NaN]","[44.9927923264440,44.9927923264440,44.9927863264440,44.9927863264440,44.9927923264440,NaN]",99,-93.17545154,44.99283667,-93.17537654,44.99283067
