Plot,Stand,
YC18:2336,15,
YC18:2337,9,
YC18:2338,15,
YC18:2339,12,
YC18:2340,15,
YC18:2341,15,
YC18:2342,15,
YC18:2343,10,
YC18:2344,19,
YC18:2345,20,
YC18:2346,26,
YC18:2347,24,
YC18:2348,19,
YC18:2349,20,
YC18:2350,22,
YC18:2351,20,
YC18:2352,24,
YC18:2353,26,
YC18:2354,24,
YC18:2355,25,
YC18:2356,14,
YC18:2357,17,
YC18:2358,13,
YC18:2359,19,
YC18:2360,13,
YC18:2361,23,
YC18:2362,21,
YC18:2363,20,
YC18:2364,17,
YC18:2365,24,
YC18:2366,16,
YC18:2367,21,
YC18:2368,22,
YC18:2369,24,
YC18:2370,21,
YC18:2371,12,
YC18:2372,19,
YC18:2373,25,
YC18:2374,22,
YC18:2375,18,
YC18:2376,19,
YC18:2377,26,
YC18:2378,21,
YC18:2379,13,
YC18:2380,12,
YC18:2381,15,
YC18:2382,15,
YC18:2383,15,
YC18:2384,15,
YC18:2385,15,
YC18:2386,13,
YC18:2387,15,
YC18:2388,15,
YC18:2389,15,
YC18:2390,6,
YC18:2391,15,
YC18:2392,15,
YC18:2393,12,
YC18:2394,15,
YC18:2395,15,
YC18:2396,8,
YC18:2397,15,
YC18:2398,15,
YC18:2399,15,
YC18:2400,15,
YC18:2401,15,
YC18:2402,15,
YC18:2403,3,
YC18:2404,15,
YC18:2405,15,
YC18:2406,15,
YC18:2407,15,
YC18:2408,15,
YC18:2409,8,
YC18:2410,15,
YC18:2411,15,
YC18:2412,15,
YC18:2413,15,
YC18:2414,15,
YC18:2415,15,
YC18:2416,7,
YC18:2417,27,
YC18:2418,25,
YC18:2419,27,
YC18:2420,23,
YC18:2421,18,
YC18:2422,27,
YC18:2423,27,
YC18:2424,27,
YC18:2425,17,
YC18:2426,20,
YC18:2427,24,
YC18:2428,20,
YC18:2429,27,
YC18:2430,15,
YC18:2431,12,
YC18:2432,13,
YC18:2433,20,
YC18:2434,13,
YC18:2435,19,
YC18:2436,25,
YC18:2437,25,
YC18:2438,18,
YC18:2439,22,
YC18:2440,24,
YC18:2441,14,
YC18:2442,23,
YC18:2443,20,
YC18:2444,12,
YC18:2445,22,
YC18:2446,15,
YC18:2447,21,
YC18:2448,6,
YC18:2449,18,
YC18:2450,22,
YC18:2451,15,
YC18:2452,15,
YC18:2453,15,
YC18:2454,15,
YC18:2455,11,
YC18:2456,15,
YC18:2457,15,
YC18:2458,15,
YC18:2459,15,
YC18:2460,15,
YC18:2461,15,
YC18:2462,15,
YC18:2463,15,
YC18:2464,15,
YC18:2465,15,
YC18:2466,0,
YC18:2467,15,
YC18:2468,15,
YC18:2469,15,
YC18:2470,15,
YC18:2471,15,
YC18:2472,10,
YC18:2473,15,
YC18:2474,15,
YC18:2475,15,
YC18:2476,7,
YC18:2477,15,
YC18:2478,15,
YC18:2479,15,
YC18:2480,15,
YC18:2481,15,
YC18:2482,15,
YC18:2483,15,
YC18:2484,15,
YC18:2485,15,
YC18:2486,12,
YC18:2487,15,
YC18:2488,23,
YC18:2489,17,
YC18:2490,16,
YC18:2491,15,
YC18:2492,19,
YC18:2493,25,
YC18:2494,26,
YC18:2495,27,
YC18:2496,15,
YC18:2497,15,
YC18:2498,8,
YC18:2499,23,
YC18:2500,22,
YC18:2501,23,
YC18:2502,23,
YC18:2503,24,
YC18:2504,16,
YC18:2505,14,
YC18:2506,27,
YC18:2507,22,
YC18:2508,13,
YC18:2509,27,
YC18:2510,9,
YC18:2511,26,
YC18:2512,21,
YC18:2513,25,
YC18:2514,28,
YC18:2515,26,
YC18:2516,20,
YC18:2517,22,
YC18:2518,27,
YC18:2519,23,
YC18:2520,14,
